AREACD,P50
E01013316,145000
E01013320,104000
E01013321,135000
E01013317,127750
E01013315,103000
E01013319,97500
E01013318,109000
E01013325,162500
E01013324,200000
E01013329,137750
E01013323,158000
E01013322,165000
E01013328,222000
E01013327,150000
E01013326,218000
E01013331,89500
E01013333,123250
E01013334,117000
E01013332,70000
E01013330,70000
E01013335,188500
E01013337,230000
E01013339,260000
E01013338,232500
E01013336,245000
E01013342,306000
E01013341,303000
E01013340,415000
E01013345,185750
E01013346,230000
E01013350,173250
E01013349,
E01013347,167750
E01013348,194555
E01013343,173250
E01013344,432500
E01013352,257500
E01013351,327500
E01013354,247250
E01013357,415000
E01013355,265000
E01013358,256000
E01013353,192500
E01013356,219250
E01013359,200000
E01013363,168500
E01013362,250000
E01013360,267500
E01013364,200000
E01013361,254000
E01013365,233000
E01013368,235000
E01013369,243500
E01033070,185000
E01033067,201500
E01013366,267500
E01013376,294000
E01013375,265000
E01013370,212500
E01013373,284000
E01013371,319000
E01013374,305000
E01013372,220000
E01013377,240000
E01013378,158000
E01013381,222000
E01013386,197000
E01013379,420000
E01013380,320000
E01013384,204000
E01013383,180000
E01013385,190000
E01013382,210526
E01013387,360000
E01013389,211000
E01013388,247500
E01013392,250000
E01013390,162500
E01013391,193000
E01013393,183000
E01013394,233750
E01013396,178725
E01013395,290000
E01013397,225000
E01013398,237000
E01013399,164500
E01013401,215000
E01013400,180500
E01013402,244975
E01013403,213750
E01013411,197500
E01013407,309500
E01013409,230000
E01013404,271750
E01013405,215000
E01013406,193501
E01013408,235000
E01013410,181500
E01033069,299999
E01013417,635000
E01013416,298500
E01013418,253500
E01013413,320000
E01013412,212000
E01013414,405495
E01033068,276500
E01013419,282495
E01013420,212000
E01013421,368750
E01013423,480000
E01013424,362500
E01013425,270000
E01013426,433500
E01013427,380000
E01013422,264000
E01013428,227000
E01013434,227500
E01013435,245000
E01013431,229950
E01013432,224000
E01013429,206250
E01013433,249999
E01013430,255000
E01013436,369000
E01013437,301250
E01013438,239250
E01013439,311500
E01013440,287500
E01013446,199950
E01013449,217500
E01013448,170000
E01013444,162500
E01013441,205000
E01013445,172000
E01013443,172000
E01013447,179750
E01013442,218000
E01013450,307500
E01013451,230000
E01013452,280000
E01013460,92500
E01013456,101000
E01013457,99750
E01013458,170000
E01013459,131000
E01013455,147500
E01013453,97250
E01013454,102000
E01013467,210000
E01013466,300000
E01013468,247475
E01013462,224750
E01013461,235000
E01013464,245000
E01013465,250000
E01013469,204000
E01013463,280000
E01013472,111500
E01013474,123000
E01013476,135000
E01033172,120000
E01013477,120000
E01013470,162000
E01013473,124500
E01013475,118000
E01033171,141250
E01013471,95000
E01013480,125000
E01013483,111000
E01013481,90000
E01013486,94500
E01033167,96875
E01013485,80500
E01013487,79000
E01013479,122565
E01033166,134975
E01013484,70750
E01013494,130250
E01013493,151750
E01013495,156750
E01013489,222000
E01013491,180000
E01013490,210000
E01013488,151000
E01013492,179500
E01013498,138000
E01013502,155000
E01013501,155000
E01013504,117000
E01013497,115000
E01013496,115000
E01013503,118500
E01013500,137000
E01013499,115000
E01013507,175475
E01013510,119000
E01013511,168725
E01013505,145750
E01013513,139475
E01013506,165000
E01013508,117000
E01013509,125000
E01013512,121250
E01013518,165000
E01013517,156000
